x__,X__,Y__,x___1,x____,x_____1,x_____,amplitude_1,phase_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1900,1799.637266,319.6887516,0.142524989,1.60576123,-0.004982357050521+0.142437876324181i,3.81E-05,-2.115034486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1300,831.8892157,266.596543,0.117012387,2.187647587,-0.0676881081705589+0.095447466338826i,1.60E-05,-0.665647061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1600,2645.905672,15.8733176,0.186815234,1.398678403,0.0319957259353155+0.184054897262154i,1.08E-05,1.727354943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1300,546.4108367,163.7421677,0.204695283,3.188159605,-0.204473384355611-0.00952859060784798i,4.29E-06,-0.415099258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1300,53.06307839,179.8401555,0.13706095,1.763180616,-0.0262060176319266+0.134532332891967i,5.19E-06,0.308255929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1900,4475.951558,350.3398709,0.191556048,2.385594613,-0.139373735384462+0.131410355289368i,8.83E-05,-1.327875661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1700,2928.825847,353.6181517,0.272900041,3.41128525,-0.263035481147243-0.0727101654773415i,5.15E-05,1.108023547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1900,2449.426265,134.6989326,1,3.571017311,-0.909205442871802-0.416347766479285i,0.001682485,2.331421359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1700,4657.454981,6.46346534,0.131034444,2.952894759,-0.128708493486286+0.0245794492306989i,1.57E-05,1.650358569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1700,1022.134478,52.08461465,0.156326429,0.172774665,0.15399897079561+0.026875071013984i,1.27E-05,-2.901623845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1100,3727.036875,314.6263188,0.162570441,1.170645359,0.0633305165997674+0.149727733198651i,2.69E-05,0.457763119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1200,3440.309279,161.167735,0.252859086,5.134475067,0.103587352343776-0.23066724490885i,5.10E-05,1.955467432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1200,483.7108977,304.0517816,0.167818245,6.22717582,0.167555085227594-0.00939450017151386i,6.58E-06,-1.814254385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
